country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,population,imfGDP,unGDP,gdpPerCapita
Liechtenstein,LIE,2021-06-16,28606,17873,10733,560,404,75.01,46.87,28.14,10593,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,38137,0,6193677543,161926.2103
Lithuania,LTU,2021-06-20,2089104,1207804,881300,622,19872,76.74,44.37,32.37,7300,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/,2722291,57602000000,42773029835,21414.4815
Luxembourg,LUX,2021-06-18,468346,283338,185008,7796,6474,74.82,45.26,29.56,10342,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://covid19.public.lu/fr.html,625976,73693000000,58631324559,116085.9716
Macao,MAC,2021-06-20,291995,205772,87506,5255,5872,44.97,31.69,13.48,9043,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/514196/,649342,62158000000,45311080521,94408.5153
Madagascar,MDG,2021-06-20,188752,188752,0,,8834,0.68,0.68,,319,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,27691019,13542000000,11222263845,476.3726
Malawi,MWI,2021-06-19,420685,383273,37412,6724,6153,2.2,2,0.2,322,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1406256759174533135,19129955,7861000000,5318197658,400.098
Malaysia,MYS,2021-06-20,5815575,4202601,1612974,,189329,17.97,12.98,4.98,5850,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Malaysia,https://www.vaksincovid.gov.my/statistik/,32365998,4.02E+11,2.97E+11,12264.5418
Maldives,MDV,2021-06-19,497871,315156,182715,,862,92.11,58.3,33.8,1595,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1406663443378176003,540542,6213000000,4224207488,11429.0024
Mali,MLI,2021-06-20,176038,130574,45464,,2049,0.87,0.64,0.22,101,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,20250834,19332000000,14001696748,926.9393
Malta,MLT,2021-06-20,628735,352478,288195,2891,5604,142.4,79.83,65.27,12692,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases,441539,16338000000,10998577038,36898.3522
Mauritania,MRT,2021-06-20,136003,129020,6983,,12831,2.93,2.77,0.15,2760,"BBIBP-CorV, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/,4649660,5697000000,4667119320,1193.0593
Mauritius,MUS,2021-06-20,598863,380362,218501,,11968,47.09,29.91,17.18,9411,"BBIBP-CorV, Covaxin, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/,1271767,15757000000,12216235024,12373.6388
Mexico,MEX,2021-06-19,40031327,27753807,16526469,408239,390910,31.05,21.53,12.82,3032,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/647167/2021.06.20_17h00_ComunicadoTecnicoDiario_Covid19.pdf,128932753,1.30E+12,1.08E+12,9962.5973
Moldova,MDA,2021-06-20,631346,401379,229967,13129,14426,15.65,9.95,5.7,3576,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://vaccinare.gov.md/,4033963,12793000000,6772647958,3179.1599
Monaco,MCO,2021-06-10,33965,18836,15129,,313,86.55,48,38.55,7976,Pfizer/BioNTech,National Council,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-quatre-nouveaux-cas-positifs-ce-vendredi-11-juin,39244,0,6468000877,163701.27
Mongolia,MNG,2021-06-20,3608480,1912235,1696245,,10027,110.07,58.33,51.74,3059,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/,3278292,14960000000,11160356685,4493.4519
Montenegro,MNE,2021-06-20,275658,147995,127663,1144,1899,43.89,23.56,20.33,3024,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/,628062,5740000000,4373958354,9139.3561
Morocco,MAR,2021-06-19,17494081,9375240,8118841,62212,148024,47.4,25.4,22,4010,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,http://www.covidmaroc.ma/pages/Accueilfr.aspx,36910558,1.29E+11,1.04E+11,3455.7962
Mozambique,MOZ,2021-06-10,394930,320129,74801,,62,1.26,1.02,0.24,2,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,31255435,16294000000,10930131568,506.6062
Myanmar,MMR,2021-05-13,2994900,1772177,1222723,,50126,5.5,3.26,2.25,921,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,54409794,71403000000,65697616068,1302.8315
Namibia,NAM,2021-06-20,124064,104199,19865,110,3074,4.88,4.1,0.78,1210,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health and Social Services,https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/766186130721059/,2540916,14627000000,10947277246,5653.2877
Nauru,NRU,2021-06-08,7438,7438,0,,2,68.65,68.65,,185,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,10834,117000000,103469824,10757.6315
Nepal,NPL,2021-06-19,3231849,2500196,731653,,22465,11.09,8.58,2.51,771,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60cdcbdabc01a_SitRep496_COVID-19_19-06-2021_EN.pdf,29136808,33035000000,20914004957,1113.2296
Netherlands,NLD,2021-06-20,12927990,8610697,4756088,,88676,75.45,50.25,27.76,5175,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,17134873,9.55E+11,7.77E+11,55606.2129
New Caledonia,NCL,2021-06-15,101168,55277,45891,,346,35.44,19.36,16.07,1212,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,285491,0,9445714851,32772.8138
New Zealand,NZL,2021-06-15,891702,567188,324514,21776,16401,18.49,11.76,6.73,3401,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data,4822233,2.25E+11,1.88E+11,46278.4451
Nicaragua,NIC,2021-05-21,167500,167500,0,,82,2.53,2.53,,12,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/,6624554,12459000000,13230214875,1858.8905
Niger,NER,2021-06-14,186207,172812,13395,,982,0.77,0.71,0.06,41,"BBIBP-CorV, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/,24206636,10628000000,7528285819,422.9071
Nigeria,NGA,2021-06-04,2225765,1964095,261670,,34503,1.08,0.95,0.13,167,Oxford/AstraZeneca,Government of Nigeria,https://twitter.com/NphcdaNG/status/1400875651012378627,206139587,4.96E+11,4.05E+11,2346.8323
North Macedonia,MKD,2021-06-17,473853,274710,199143,11438,6097,22.74,13.19,9.56,2926,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Government of North Macedonia,https://twitter.com/ZdravstvoMK/status/1405859988455710725,2083380,13700000000,10745782586,6578.1324
Norway,NOR,2021-06-20,3634323,2177852,1456471,4218,44355,67.04,40.17,26.87,8182,"Moderna, Pfizer/BioNTech",Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,5421242,4.39E+11,3.71E+11,80251.133
Oman,OMN,2021-06-15,720199,535578,184621,,24510,14.1,10.49,3.62,4800,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://www.euronews.com/2021/06/18/us-health-coronavirus-oman,5106622,84158000000,63170959402,16111.8051
Pakistan,PAK,2021-06-19,12750760,10209149,3379444,266959,322076,5.77,4.62,1.53,1458,"CanSino, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",National Command and Operation Centre,https://ncoc.gov.pk/covid-vaccination-en.php,220892331,0,2.83E+11,1254.4675
Palestine,PSE,2021-06-19,716393,445598,270795,,8385,14.04,8.73,5.31,1644,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3906688689456980,5101416,0,13397100000,2565.1439
Panama,PAN,2021-06-19,1412477,929180,483297,16377,25556,32.74,21.53,11.2,5923,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1406448055692541952,4314768,75494000000,55187800000,17229.8617
Papua New Guinea,PNG,2021-06-07,38176,38176,0,,987,0.43,0.43,,110,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,8947027,22114000000,19694115731,2425.0439
Paraguay,PRY,2021-06-17,662804,422474,240330,16471,17893,9.29,5.92,3.37,2509,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html,7132530,45376000000,27165101909,6285.0797
Peru,PER,2021-06-18,6137047,3777819,2359228,118855,105054,18.61,11.46,7.16,3186,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://www.datosabiertos.gob.pe/dataset/vacunaci%C3%B3n-contra-covid-19-ministerio-de-salud-minsa,32971846,2.44E+11,1.92E+11,7319.1625
Philippines,PHL,2021-06-20,8407342,6253400,0,,208399,7.67,5.71,,1902,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of the Philippines,https://www.facebook.com/102042448125024/posts/336064938056106/,109581085,3.89E+11,3.05E+11,3503.4562
Poland,POL,2021-06-20,26494562,16152134,11190284,72093,289180,70.01,42.68,29.57,7641,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,37846605,6.43E+11,4.71E+11,17019.1792
Portugal,PRT,2021-06-20,7575648,4871081,2704559,138477,104054,74.3,47.77,26.52,10205,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data,10196707,2.50E+11,2.05E+11,24578.4661
Qatar,QAT,2021-06-20,2886323,1620571,1265752,9814,13033,100.18,56.25,43.93,4524,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,2881060,2.04E+11,1.52E+11,69614.7588
Romania,ROU,2021-06-20,8736769,4633520,4355131,20345,28515,45.41,24.09,22.64,1482,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania via datelazi.ro,https://datelazi.ro/,19237682,2.63E+11,1.87E+11,13756.5929
Russia,RUS,2021-06-20,34901304,19657314,15243990,132402,295730,23.92,13.47,10.45,2026,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats,145934460,1.67E+12,1.25E+12,11427.845
Rwanda,RWA,2021-06-06,578569,350400,228169,,6154,4.47,2.71,1.76,475,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://twitter.com/RwandaHealth/status/1401629373824917514,12952209,11062000000,8473784827,833.2007
Saint Kitts and Nevis,KNA,2021-06-15,32415,22012,10403,,276,60.94,41.38,19.56,5189,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/photos/a.158729094910938/934309337352906/,53192,1118000000,909854620,20880.0239
Saint Lucia,LCA,2021-06-19,51178,30063,21115,117,149,27.87,16.37,11.5,811,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/,183629,2069000000,1397066906,11220.1735
Saint Vincent and the Grenadines,VCT,2021-06-15,23087,0,0,,103,20.81,,,928,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/photos/a.460089407384821/4581707335222987,110947,903000000,765318745,8115.9056
Samoa,WSM,2021-06-15,40230,40230,0,,267,20.28,20.28,,1346,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,198410,960000000,822233281,4796.4267
San Marino,SMR,2021-06-20,44064,22172,22172,,80,129.84,65.33,65.33,2357,"Pfizer/BioNTech, Sputnik V",Social Security Institute,https://vaccinocovid.iss.sm/,33938,1672000000,1590761265,49151.8946
Sao Tome and Principe,STP,2021-06-14,23918,12374,11544,,201,10.91,5.65,5.27,917,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,219161,527000000,342781695,2359.3353
Saudi Arabia,SAU,2021-06-20,16649095,0,0,100921,116097,47.82,,,3335,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/,34813867,7.90E+11,6.40E+11,22355.5951
Senegal,SEN,2021-06-15,632648,480311,152337,7200,13597,3.78,2.87,0.91,812,"BBIBP-CorV, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/,16743930,28062000000,14604520531,1631.8626
Serbia,SRB,2021-06-20,5146241,2693998,2452243,,23928,75.63,39.59,36.04,3516,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/,6804596,56886000000,38299871897,6540.4625
Seychelles,SYC,2021-06-18,137676,70660,67016,,60,140,71.85,68.15,610,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.youtube.com/watch?v=8kSdOu5QEiw&ab_channel=SBC,98340,1739000000,1433826317,17581.9954
Sierra Leone,SLE,2021-06-20,97315,82145,15170,,906,1.22,1.03,0.19,114,"BBIBP-CorV, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/,7976985,4221000000,3674756785,518.4648
Singapore,SGP,2021-06-14,4691386,2700446,1990940,,42760,80.19,46.16,34.03,7309,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.sg/covid-19,5850343,3.92E+11,2.97E+11,66456.82
Sint Maarten,SXM,2021-06-18,36209,20358,15851,,310,84.44,47.47,36.96,7229,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/,42882,0,1072067039,24695.1773
Slovakia,SVK,2021-06-20,3242169,1938210,1303959,17546,27121,59.38,35.5,23.88,4968,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data,5459643,1.17E+11,89768598023,21498.8094
Slovenia,SVN,2021-06-20,1394087,799225,594862,1467,10256,67.06,38.44,28.61,4933,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via covid-19.sledilnik.org,https://covid-19.sledilnik.org/en/stats,2078932,58213000000,44708598649,28004.1987
Solomon Islands,SLB,2021-06-08,17000,17000,0,,30,2.47,2.47,,44,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,686878,1607000000,1133967215,2282.6834
Somalia,SOM,2021-06-18,159923,135107,24816,1214,1258,1.01,0.85,0.16,79,"BBIBP-CorV, Oxford/AstraZeneca, Sinovac",World Health Organization,https://covid19.who.int/,15893219,8341000000,1318057519,509.8565
South Africa,ZAF,2021-06-19,2141624,2141624,479768,4553,52601,3.61,3.61,0.81,887,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/,59308690,3.87E+11,2.95E+11,6440.942
South Korea,KOR,2021-06-20,17946801,15014819,4047846,,444627,35.01,29.29,7.9,8672,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=713723&cg_code=&act=view&nPage=1,51269183,1.74E+12,1.41E+12,33999.6818
South Sudan,SSD,2021-06-20,29410,27338,2072,,1673,0.26,0.24,0.02,149,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,11193729,2796000000,6534451826,245.6645
Spain,ESP,2021-06-17,35412140,22684911,13939564,566794,447084,75.74,48.52,29.81,9562,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210618.ods,46754783,1.50E+12,1.24E+12,32026.3789
Sri Lanka,LKA,2021-06-20,3261432,2455180,806252,43614,70293,15.23,11.47,3.77,3283,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-20-06_10_21_1.pdf,21413250,89942000000,81321970966,4183.8723
Sudan,SDN,2021-06-20,610924,508271,102653,,11495,1.39,1.16,0.23,262,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",World Health Organization,https://covid19.who.int/,43849269,0,82887395895,1845.66
Suriname,SUR,2021-06-20,175694,144662,31032,,5549,29.95,24.66,5.29,9459,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/,586634,3919000000,3278445033,6622.1697
Sweden,SWE,2021-06-18,6731352,4315017,2416335,59606,82841,66.65,42.73,23.93,8203,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/,10099270,5.77E+11,5.14E+11,56762.8353
Switzerland,CHE,2021-06-16,6405316,3918450,2486866,114180,87518,74.01,45.28,28.73,10112,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH,8654618,7.41E+11,6.69E+11,84986.8063
Syria,SYR,2021-06-06,71519,71519,0,,4674,0.41,0.41,,267,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,17500657,0,22163075121,1212.7072
Taiwan,TWN,2021-06-20,1541732,0,0,,100753,6.47,,,4230,"Moderna, Oxford/AstraZeneca",Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og,23816775,6.34E+11,0,26564.4408
Tajikistan,TJK,2021-06-13,102711,89121,13590,,774,1.08,0.93,0.14,81,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,9537642,7838000000,6951679338,803.9282
Thailand,THA,2021-06-19,7587178,5486092,2101086,104095,215134,10.87,7.86,3.01,3082,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-06-20.pdf,69799978,5.47E+11,4.07E+11,7825.9378
Timor,TLS,2021-06-15,110531,103813,6718,,2480,8.38,7.87,0.51,1881,"Oxford/AstraZeneca, Sinovac",World Health Organization,https://covid19.who.int/,1318442,3413000000,2703285752,2539.6745
Togo,TGO,2021-06-10,347246,270784,76462,,4684,4.19,3.27,0.92,566,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,8278737,6132000000,4449262345,723.2625
Tonga,TON,2021-06-01,29980,28631,1349,,573,28.36,27.09,1.28,5421,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,105697,512000000,401460313,4795.8037
Trinidad and Tobago,TTO,2021-06-20,215991,176849,39142,0,6547,15.43,12.64,2.8,4678,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,1399491,23235000000,24086176564,16556.5155
Tunisia,TUN,2021-06-20,1583153,1165402,417751,31304,28791,13.4,9.86,3.53,2436,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4242069875832084,11818618,35150000000,41703561397,2944.9304
Turkey,TUR,2021-06-20,42613378,28123248,14490130,1418588,1222956,50.53,33.35,17.18,14500,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/,84339067,8.10E+11,8.64E+11,9519.3901
Turkmenistan,TKM,2021-04-04,41993,32240,9753,,,0.7,0.53,0.16,,"EpiVacCorona, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,6031187,57059000000,36179885714,9326.5297
Turks and Caicos Islands,TCA,2021-06-18,38110,22700,15410,,92,98.43,58.63,39.8,2376,Pfizer/BioNTech,World Health Organization,https://covid19.who.int/,38718,0,917550492,23388.4044
Tuvalu,TUV,2021-06-15,4772,4772,0,,169,40.47,40.47,,14332,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,11792,53000000,36697185,4442.2094
Uganda,UGA,2021-06-16,821659,821659,0,9541,7704,1.8,1.8,,168,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1405877584370483203,45741000,33620000000,25307842467,713.444
Ukraine,UKR,2021-06-20,2086492,1726040,360452,4390,52570,4.77,3.95,0.82,1202,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/,43733759,1.47E+11,93270354852,3385.801
United Arab Emirates,ARE,2021-06-20,14512626,0,0,83710,100600,146.73,,,10171,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en,9890400,4.49E+11,3.49E+11,44953.0577
United Kingdom,GBR,2021-06-20,74577678,43127763,31449915,273158,415067,109.86,63.53,46.33,6114,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare,67886004,2.93E+12,2.65E+12,42914.5839
United States,USA,2021-06-20,317966408,177088290,149667646,848611,1234838,95.07,52.95,44.75,3692,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/COVIDData/getAjaxData?id=vaccination_data,331002647,2.22E+13,1.86E+13,66678.0263
Uruguay,URY,2021-06-18,3509364,2146891,1362473,46951,39717,101.03,61.8,39.22,11434,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health via vacuna.uy,https://monitor.uruguaysevacuna.gub.uy/,3473727,63421000000,52419718459,18197.4899
Uzbekistan,UZB,2021-06-15,2695058,1623764,1002919,,39902,8.05,4.85,3,1192,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V",Government of Uzbekistan,https://akipress.com/news:659485:Uzbekistan_vaccinates_over_1_623_million_against_COVID-19/,33469199,55482000000,67778902435,1634.9124
Vanuatu,VUT,2021-06-15,5140,5140,0,,611,1.67,1.67,,1989,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,307150,994000000,837519790,3160.9342
Venezuela,VEN,2021-06-18,1302992,1079134,223858,,80433,4.58,3.79,0.79,2829,"BBIBP-CorV, Sputnik V",Government of Venezuela,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp,28435943,70106000000,2.91E+11,2442.2962
Vietnam,VNM,2021-06-20,2422643,2300960,121683,63267,132046,2.49,2.36,0.13,1357,Oxford/AstraZeneca,Government of Vietnam,https://suckhoedoisong.vn/sang-21-6-them-47-ca-mac-covid-19-viet-nam-ghi-nhan-tong-cong-13258-benh-nhan-n195481.html,97338583,2.82E+11,2.05E+11,2876.3915
Yemen,YEM,2021-06-20,251385,251385,0,,3252,0.84,0.84,,109,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,29825968,31385000000,25374086438,1029.3323
Zambia,ZMB,2021-06-15,148304,142089,6215,,91,0.81,0.77,0.03,5,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Zambia,https://www.facebook.com/mohzambia/posts/1933861003455214,18383956,25272000000,21063063977,1335.6834
Zimbabwe,ZWE,2021-06-20,1138733,703065,435668,4813,4525,7.66,4.73,2.93,304,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1406690528482279424,14862927,25812000000,16123763648,1710.2907
