country,num_vaccines,2dose,1dose,vaccine_per_population,gdpPerCapita
Afghanistan,32134813,177266,484737,0.8470456524206875,519.1861
Albania,1631860,365028,515884,1.0,5990.3938
Algeria,36752648,0,2500000,0.8951360176313252,4326.997
Andorra,9742,16416,34691,1.0,36951.8018
Angola,30972301,513793,866381,1.0,2841.6075
Anguilla,-6211,6015,9183,1.0,22327.2124
Antigua and Barbuda,9131,26593,35611,1.0,18322.5127
Argentina,23422648,3687740,14397649,1.0,11300.1571
Aruba,-74149,57025,66865,1.0,27536.286
Australia,18086132,857720,5698309,1.0,57447.1711
Austria,-371264,2503224,4371216,1.0,53264.8758
Azerbaijan,6109894,1039823,1949635,1.0,4639.2853
Bahamas,288955,25047,54199,1.0,34541.5746
Bahrain,-1141232,899514,1043787,1.0,23283.8146
Bangladesh,150345412,4260363,5823245,1.0,2064.1719
Barbados,67260,64688,90735,1.0,18556.8157
Belarus,7252389,369272,699141,0.9196506288652909,6742.0238
Belgium,-1576695,3523315,6119681,1.0,47607.0736
Belize,278961,21256,76148,1.0,5114.6663
Benin,12091784,4790,21834,1.0,974.1355
Bermuda,-50249,35662,41198,1.0,98684.8285
Bolivia,8925639,565938,1615514,1.0,3976.3575
Bosnia and Herzegovina,2901754,63281,252499,1.0,6539.9793
Botswana,2157401,0,150019,0.9812023600701643,8707.0929
Brazil,101380261,24218578,62741992,1.0,9638.1461
British Virgin Islands,2086,7873,12405,1.0,31926.5346
Brunei,358544,11967,55005,1.0,32344.2016
Bulgaria,4539444,748826,911349,1.0,10403.0021
Burkina Faso,20885503,0,17775,1.0,756.6603
Cambodia,7888010,2732377,3366207,1.0,1729.508
Cameroon,26429850,18769,78476,1.0,1544.4678
Canada,-1531282,7084165,25105109,1.0,48137.4033
Cape Verde,482212,2835,60771,0.9868072692216379,3929.5388
Cayman Islands,-62324,40527,46990,1.0,57808.3316
Central African Republic,3656973,1549,41095,0.7663244001156164,505.0833
Chad,15931553,0,5324,0.9702309632634738,741.7683
Chile,-11791370,9521763,11864053,1.0,16320.7947
China,410100774,0,1029223000,1.0,10710.3777
Colombia,31147246,4781769,10172100,1.0,6881.97
Comoros,656485,41220,43140,0.8993439474697992,870.0536
Cook Islands,2645,2665,9589,1.0,16521.1611
Costa Rica,2202852,740742,1409778,1.0,12348.581
Croatia,837122,908674,1450798,1.0,15824.4789
Cuba,5565654,905692,3949578,1.0,7924.7767
Curacao,-76629,76332,88065,1.0,18941.067
Cyprus,-159710,296244,443121,1.0,21675.1784
Denmark,4151109,1641094,-1641094,1.0,62708.9821
Djibouti,957835,8810,12547,1.0,2593.3284
Dominica,16169,17844,20134,1.0,8175.4819
Dominican Republic,1364753,2470706,4541739,1.0,8258.3032
Ecuador,12878390,1206416,2351838,1.0,6022.3132
Egypt,97629323,694613,3315854,1.0,3178.2593
El Salvador,2979006,1040634,1425927,1.0,4326.4561
Equatorial Guinea,1037272,108567,148579,1.0,8457.848
Estonia,70902,355675,544287,1.0,25079.5172
Eswatini,909045,0,35227,0.8139125158167294,4104.5343
Ethiopia,112989107,0,1974476,1.0,843.0114
Fiji,649306,4599,237940,1.0,6280.831
Finland,760235,851422,3077639,1.0,52131.2604
France,2623591,16727363,31485934,1.0,43958.7034
French Polynesia,106867,54644,64749,1.0,19176.4915
Gabon,1888466,12337,29400,0.8727661241625212,7851.8535
Gambia,2049594,10389,30421,0.8692946143940573,751.9266
Georgia,3493045,82189,234410,0.9755984633414178,4746.0089
Germany,-8502181,25831503,40623120,1.0,49548.2308
Ghana,28282230,380829,852047,0.9621210670568883,2277.3133
Greece,-260971,3175443,4333141,1.0,22225.9849
Greenland,14285,10312,21863,1.0,40137.9799
Grenada,73229,10133,19024,1.0,11767.7246
Guatemala,16917457,147280,661474,0.997651427945317,4801.6259
Guinea,11867537,116136,336515,0.9469672557061742,1007.8354
Guinea-Bissau,1841925,0,18706,0.9454435421174209,828.0848
Guyana,378586,92157,223659,1.0,5831.7707
Honduras,9362816,0,541792,1.0,2540.0003
Hong Kong,2996209,1280176,1940427,1.0,53229.7251
Hungary,5169237,4491113,-4491113,1.0,18448.3054
Iceland,-167653,153725,201453,1.0,78114.9429
India,1055972470,49745316,224541283,1.0,2337.9495
Indonesia,226000837,12239706,23043372,1.0,4374.1938
Iran,78391286,808786,3984095,1.0,5829.7217
Iraq,37882690,209296,494524,0.9645298802016373,5996.5007
Ireland,1719486,0,3218310,1.0,81314.9834
Israel,-7140493,5150492,5495050,1.0,45958.0645
Italy,-1324779,15769898,30246811,1.0,34628.7455
Jamaica,2735740,31106,163209,1.0,5622.0642
Japan,85729910,9154518,22437512,1.0,43596.8659
Jordan,6104718,998765,2100892,1.0,4523.4108
Kazakhstan,12725609,1653443,2744212,1.0,9335.2121
Kenya,51930604,188364,995012,0.9912786932806162,1984.4433
Kuwait,1170563,0,3100000,1.0,33036.2362
Kyrgyzstan,5572850,47400,88178,0.8822286165441815,1324.7629
Laos,5611550,455128,753750,1.0,2983.0508
Latvia,331435,483924,586919,1.0,20408.7754
Lebanon,5325922,368851,761818,1.0,8955.3394
Lesotho,2063694,122,36637,0.9805452393089141,1339.46
Liberia,3871684,687,68134,0.7792494459412889,621.0181
Libya,5980204,0,351408,0.9214594005460695,7246.356
Liechtenstein,-1202,10733,17873,1.0,161926.2103
Lithuania,-248113,881300,1207804,1.0,21414.4815
Luxembourg,-27378,185008,283338,1.0,116085.9716
Macao,269841,87506,204489,1.0,94408.5153
Madagascar,26834984,0,188752,0.9759025480427427,476.3726
Malawi,18671858,37412,383273,1.0,400.098
Malaysia,24937449,1612974,4202601,1.0,12264.5418
Maldives,-140044,182715,315156,1.0,11429.0024
Mali,18429225,45464,130574,0.9209856245920538,926.9393
Malta,-475391,288195,340540,1.0,36898.3522
Mauritania,3779490,6983,129020,0.8436049087460158,1193.0593
Mauritius,454403,218501,380362,1.0,12373.6388
Mexico,72374957,16526469,23504858,1.0,9962.5973
Moldova,3172650,229967,401379,1.0,3179.1599
Monaco,-9850,15129,18836,1.0,163701.27
Mongolia,-2026433,1696245,1912235,1.0,4493.4519
Montenegro,224741,127663,147995,1.0,9139.3561
Morocco,11297636,8118841,9375240,1.0,3455.7962
Mozambique,30785704,74801,320129,1.0,506.6062
Myanmar,50192171,1222723,1772177,1.0,1302.8315
Namibia,2105823,19865,104199,0.8854098285815036,5653.2877
Nauru,3396,0,7438,1.0,10757.6315
Nepal,25173306,731653,2500196,1.0,1113.2296
Netherlands,-549205,4756088,8171902,1.0,55606.2129
New Caledonia,138432,45891,55277,1.0,32772.8138
New Zealand,3606017,324514,567188,1.0,46278.4451
Nicaragua,5638279,0,167500,0.8764030001114037,1858.8905
Niger,19762448,13395,172812,0.8246519673365601,422.9071
Nigeria,203652152,261670,1964095,1.0,2346.8323
North Macedonia,1410384,199143,274710,1.0,6578.1324
Norway,330448,1456471,2177852,1.0,80251.133
Oman,3891871,184621,535578,0.9393080200570945,16111.8051
Pakistan,201884696,3379444,9371316,0.9869736038957369,1254.4675
Palestine,4041275,270795,445598,0.985699460698755,2565.1439
Panama,2418994,483297,929180,1.0,17229.8617
Papua New Guinea,8908851,0,38176,1.0,2425.0439
Paraguay,5702969,240330,422474,0.9261935105775931,6285.0797
Peru,24475571,2359228,3777819,1.0,7319.1625
Philippines,97581662,0,8407342,0.9672198810588525,3503.4562
Poland,161759,11190284,15304278,1.0,17019.1792
Portugal,-83500,2704559,4871089,1.0,24578.4661
Qatar,-1271015,1265752,1620571,1.0,69614.7588
Romania,6145782,4355131,4381638,1.0,13756.5929
Russia,95789166,15243990,19657314,1.0,11427.845
Rwanda,12145471,228169,350400,1.0,833.2007
Saint Kitts and Nevis,10374,10403,22012,1.0,20880.0239
Saint Lucia,111336,21115,30063,1.0,11220.1735
Saint Vincent and the Grenadines,87860,0,23087,1.0,8115.9056
Samoa,158180,0,40230,1.0,4796.4267
San Marino,-32298,22172,21892,1.0,49151.8946
Sao Tome and Principe,183699,11544,12374,1.0,2359.3353
Saudi Arabia,18164772,0,16649095,1.0,22355.5951
Senegal,13191761,152337,480311,0.834735095046384,1631.8626
Serbia,-793888,2452243,2693998,1.0,6540.4625
Seychelles,-106352,67016,70660,1.0,17581.9954
Sierra Leone,7864500,15170,82145,1.0,518.4648
Singapore,-831983,1990940,2700446,1.0,66456.82
Sint Maarten,-9178,15851,20358,1.0,24695.1773
Slovakia,913515,1303959,1938210,1.0,21498.8094
Slovenia,89983,594862,799225,1.0,28004.1987
Solomon Islands,644099,0,17000,0.9624693176954278,2282.6834
Somalia,14247939,24816,135107,0.9081028833743497,509.8565
South Africa,52137418,479768,1661856,0.9232847665325267,6440.942
South Korea,29274536,4047846,13898955,1.0,33999.6818
South Sudan,9704033,2072,27338,0.8697293815135242,245.6645
Spain,-2596921,13939564,21472576,1.0,32026.3789
Sri Lanka,17345566,806252,2455180,1.0,4183.8723
Sudan,43135692,102653,508271,1.0,1845.66
Suriname,379908,31032,144662,1.0,6622.1697
Sweden,951583,2416335,4315017,1.0,56762.8353
Switzerland,-237564,2486866,3918450,1.0,84986.8063
Syria,17429138,0,71519,1.0,1212.7072
Taiwan,22275043,0,1541732,1.0,26564.4408
Tajikistan,9421341,13590,89121,1.0,803.9282
Thailand,60111714,2101086,5486092,1.0,7825.9378
Timor,1201193,6718,103813,1.0,2539.6745
Togo,7855029,76462,270784,1.0,723.2625
Tonga,74368,1349,28631,1.0,4795.8037
Trinidad and Tobago,1144358,39142,176849,1.0,16556.5155
Tunisia,9817714,417751,1165402,1.0,2944.9304
Turkey,27235559,14490130,28123248,1.0,9519.3901
Turkmenistan,5460013,9753,32240,0.9138763231848059,9326.5297
Turks and Caicos Islands,-14802,15410,22700,1.0,23388.4044
Tuvalu,7020,0,4772,1.0,4442.2094
Uganda,39658136,0,821659,0.88497835639798,713.444
Ukraine,35890993,360452,1726040,0.8766211246556693,3385.801
United Arab Emirates,-4622226,0,14512626,1.0,44953.0577
United Kingdom,-38141589,31449915,43127763,1.0,42914.5839
United States,-136631407,149667646,168298762,1.0,66678.0263
Uruguay,-1398110,1362473,2146891,1.0,18197.4899
Uzbekistan,29771222,1002919,1692139,1.0,1634.9124
Vanuatu,302010,0,5140,1.0,3160.9342
Venezuela,25827288,223858,1079134,0.9619564225459307,2442.2962
Vietnam,94794257,121683,2300960,1.0,2876.3915
Yemen,29574583,0,251385,1.0,1029.3323
Zambia,16648366,6215,142089,0.9139972375912997,1335.6834
Zimbabwe,13288526,435668,703065,1.0,1710.2907
